video_id,n_tiles_used,score_topk_mean,dirty_frac_p>0.5
dirty_highway_dirty_highway3,1607,0.9567805528640747,0.6932171748599876
dirty_highway_dirty_highway2,685,0.9522484540939331,0.4686131386861314
dirty_sector_dirty_sector2,703,0.92704838514328,0.4480796586059744
dirty_highway_dirty_highway1,146,0.9259944558143616,0.6095890410958904
dirty_sector_dirty_sector9,605,0.9209110736846924,0.596694214876033
clean_highway_clean_highway2,1237,0.9069669842720032,0.42926434923201295
dirty_sector_dirty_sector4,488,0.8971534371376038,0.4733606557377049
dirty_highway_dirty_highway6,1307,0.8921594619750977,0.33282325937260904
dirty_highway_dirty_highway12,1855,0.8823161721229553,0.37358490566037733
dirty_highway_dirty_highway5,1037,0.8730977177619934,0.32883317261330763
dirty_sector_dirty_sector5,208,0.8726186156272888,0.6346153846153846
dirty_sector_dirty_sector10,1575,0.8667005300521851,0.44571428571428573
dirty_highway_dirty_highway11,1090,0.8482275009155273,0.40091743119266054
dirty_sector_dirty_sector3,438,0.8465888500213623,0.5
dirty_highway_dirty_highway13,875,0.8429064750671387,0.4582857142857143
dirty_sector_dirty_sector8,86,0.8364472985267639,0.4186046511627907
clean_highway_clean_highway10,664,0.8253307342529297,0.3463855421686747
dirty_sector_dirty_sector7,1091,0.8240652084350586,0.387717690192484
dirty_highway_dirty_highway4,910,0.8163237571716309,0.3153846153846154
dirty_highway_dirty_highway7,965,0.8135403990745544,0.25699481865284973
clean_highway_clean_highway12,217,0.8068103790283203,0.24423963133640553
clean_highway_clean_highway3,886,0.7964233160018921,0.3611738148984199
clean_highway_clean_highway7,990,0.794392466545105,0.33434343434343433
dirty_highway_dirty_highway8,931,0.779453456401825,0.3501611170784103
clean_highway_clean_highway6,692,0.7654053568840027,0.21676300578034682
dirty_sector_dirty_sector6,88,0.7651587724685669,0.32954545454545453
dirty_sector_dirty_sector1,551,0.6563678979873657,0.15970961887477314
dirty_highway_dirty_highway10,410,0.6384222507476807,0.10975609756097561
clean_highway_clean_highway1,850,0.6252154111862183,0.12823529411764706
clean_highway_clean_highway5,783,0.47196197509765625,0.06002554278416347
clean_highway_clean_highway9,1748,0.3795102536678314,0.02345537757437071
clean_highway_clean_highway11,443,0.35477444529533386,0.04288939051918736
dirty_highway_dirty_highway9,825,0.3127646744251251,0.027878787878787878
clean_highway_clean_highway4,885,0.29038891196250916,0.003389830508474576
clean_highway_clean_highway8,954,0.26478463411331177,0.009433962264150943
