video_id,n_tiles_used,score_topk_mean,dirty_frac_p>0.5
dirty_highway_dirty_highway1,156,0.9943980574607849,0.6666666666666666
dirty_sector_dirty_sector3,484,0.9933972358703613,0.6508264462809917
dirty_sector_dirty_sector2,714,0.9926877617835999,0.5462184873949579
dirty_sector_dirty_sector4,658,0.9926871061325073,0.6382978723404256
dirty_sector_dirty_sector9,610,0.9925678372383118,0.7885245901639344
clean_highway_clean_highway10,1460,0.9868580102920532,0.7109589041095891
dirty_sector_dirty_sector5,262,0.9866623282432556,0.6946564885496184
dirty_highway_dirty_highway12,2140,0.9862493872642517,0.4378504672897196
clean_highway_clean_highway3,918,0.985640823841095,0.5010893246187363
dirty_highway_dirty_highway3,1816,0.9852144718170166,0.7995594713656388
clean_highway_clean_highway2,1276,0.9847627878189087,0.4702194357366771
dirty_sector_dirty_sector10,1636,0.983282744884491,0.5171149144254279
dirty_highway_dirty_highway11,1120,0.9829548597335815,0.3821428571428571
dirty_highway_dirty_highway8,948,0.9800773859024048,0.3924050632911392
dirty_highway_dirty_highway2,776,0.9789886474609375,0.5502577319587629
dirty_highway_dirty_highway7,1228,0.9773680567741394,0.34120521172638435
dirty_sector_dirty_sector7,2550,0.9596045017242432,0.5196078431372549
dirty_highway_dirty_highway13,1224,0.9576744437217712,0.3562091503267974
dirty_highway_dirty_highway5,1080,0.9433338642120361,0.37592592592592594
dirty_highway_dirty_highway6,1504,0.9426203370094299,0.43018617021276595
dirty_sector_dirty_sector6,150,0.9415226578712463,0.44666666666666666
dirty_highway_dirty_highway4,1086,0.9322253465652466,0.42173112338858193
clean_highway_clean_highway7,1252,0.9230328798294067,0.34584664536741216
dirty_sector_dirty_sector8,86,0.915028989315033,0.47674418604651164
clean_highway_clean_highway6,843,0.8892143368721008,0.4199288256227758
dirty_highway_dirty_highway10,456,0.8701485395431519,0.19736842105263158
dirty_sector_dirty_sector1,574,0.8231653571128845,0.2961672473867596
clean_highway_clean_highway12,880,0.7045102119445801,0.16590909090909092
clean_highway_clean_highway11,2624,0.6894241571426392,0.12804878048780488
clean_highway_clean_highway9,1964,0.6323627829551697,0.12219959266802444
clean_highway_clean_highway1,861,0.596174955368042,0.09988385598141696
dirty_highway_dirty_highway9,960,0.5090988278388977,0.06458333333333334
clean_highway_clean_highway5,915,0.5052332282066345,0.05901639344262295
clean_highway_clean_highway4,900,0.33290547132492065,0.016666666666666666
clean_highway_clean_highway8,981,0.32909664511680603,0.012232415902140673
